"name","mz","ionmode"
"FA 20:4;O",321.24242,"pos"
"FA 20:5",303.23186,"pos"
"FA 20:5;O",319.22677,"pos"
"FA 21:0",327.32576,"pos"
"FA 21:0;O",343.32067,"pos"
"FA 21:1",325.31011,"pos"
"FA 21:1;O",341.30502,"pos"
"FA 21:2",323.29446,"pos"
"FA 21:2;O",339.28937,"pos"
"FA 21:3",321.27881,"pos"
"FA 21:3;O",337.27372,"pos"
"FA 21:4",319.26316,"pos"
"FA 21:4;O",335.25807,"pos"
"FA 21:5",317.24751,"pos"
"FA 21:5;O",333.24242,"pos"
"FA 21:6",315.23186,"pos"
"FA 21:6;O",331.22677,"pos"
"FA 22:0",341.34141,"pos"
"FA 22:0;O",357.33632,"pos"
"FA 22:1",339.32576,"pos"
"FA 22:1;O",355.32067,"pos"
"FA 22:2",337.31011,"pos"
"FA 22:2;O",353.30502,"pos"
"FA 22:3",335.29446,"pos"
"FA 22:3;O",351.28937,"pos"
"FA 22:4",333.27881,"pos"
"FA 22:4;O",349.27372,"pos"
"FA 22:5",331.26316,"pos"
"FA 22:5;O",347.25807,"pos"
"FA 22:6",329.24751,"pos"
"FA 22:6;O",345.24242,"pos"
"FA 23:0",355.35706,"pos"
"FA 23:0;O",371.35197,"pos"
"FA 23:1",353.34141,"pos"
"FA 23:1;O",369.33632,"pos"
"FA 23:2",351.32576,"pos"
"FA 23:2;O",367.32067,"pos"
"FA 23:3",349.31011,"pos"
"FA 23:3;O",365.30502,"pos"
"FA 23:4",347.29446,"pos"
"FA 23:4;O",363.28937,"pos"
"FA 23:5",345.27881,"pos"
"FA 23:5;O",361.27372,"pos"
"FA 23:6",343.26316,"pos"
"FA 23:6;O",359.25807,"pos"
"FA 24:0",369.37271,"pos"
"FA 24:0;O",385.36762,"pos"
"FA 24:1",367.35706,"pos"
"FA 24:1;O",383.35197,"pos"
"FA 24:2",365.34141,"pos"
"FA 24:2;O",381.33632,"pos"
"FA 24:3",363.32576,"pos"
"FA 24:3;O",379.32067,"pos"
"FA 24:4",361.31011,"pos"
"FA 24:4;O",377.30502,"pos"
"FA 24:5",359.29446,"pos"
"FA 24:5;O",375.28937,"pos"
"FA 24:6",357.27881,"pos"
"FA 24:6;O",373.27372,"pos"
"FA 25:0",383.38836,"pos"
"FA 25:0;O",399.38327,"pos"
"FA 25:1",381.37271,"pos"
"FA 25:1;O",397.36762,"pos"
"FA 25:2",379.35706,"pos"
"FA 25:2;O",395.35197,"pos"
"FA 25:3",377.34141,"pos"
"FA 25:3;O",393.33632,"pos"
"FA 25:4",375.32576,"pos"
"FA 25:4;O",391.32067,"pos"
"FA 25:5",373.31011,"pos"
"FA 25:5;O",389.30502,"pos"
"FA 25:6",371.29446,"pos"
"FA 25:6;O",387.28937,"pos"
"FA 25:7",369.27881,"pos"
"FA 25:7;O",385.27372,"pos"
"FA 26:0",397.40401,"pos"
"FA 26:0;O",413.39892,"pos"
"FA 26:1",395.38836,"pos"
"FA 26:1;O",411.38327,"pos"
"FA 26:2",393.37271,"pos"
"FA 26:2;O",409.36762,"pos"
"FA 26:3",391.35706,"pos"
"FA 26:3;O",407.35197,"pos"
"FA 26:4",389.34141,"pos"
"FA 26:4;O",405.33632,"pos"
"FA 26:5",387.32576,"pos"
"FA 26:5;O",403.32067,"pos"
"FA 26:6",385.31011,"pos"
"FA 26:6;O",401.30502,"pos"
"FA 26:7",383.29446,"pos"
"FA 26:7;O",399.28937,"pos"
"FA 3:0",75.04406,"pos"
"FA 3:0;O",91.03897,"pos"
"FA 3:1",73.02841,"pos"
"FA 3:1;O",89.02332,"pos"
"FA 4:0",89.05971,"pos"
"FA 4:0;O",105.05462,"pos"
"FA 4:1",87.04406,"pos"
"FA 4:1;O",103.03897,"pos"
"FA 5:0",103.07536,"pos"
"FA 5:0;O",119.07027,"pos"
"FA 5:1",101.05971,"pos"
"FA 5:1;O",117.05462,"pos"
"FA 5:2",99.04406,"pos"
"FA 5:2;O",115.03897,"pos"
"FA 6:0",117.09101,"pos"
"FA 6:0;O",133.08592,"pos"
"FA 6:1",115.07536,"pos"
"FA 6:1;O",131.07027,"pos"
"FA 6:2",113.05971,"pos"
"FA 6:2;O",129.05462,"pos"
"FA 7:0",131.10666,"pos"
"FA 7:0;O",147.10157,"pos"
"FA 7:1",129.09101,"pos"
"FA 7:1;O",145.08592,"pos"
"FA 7:2",127.07536,"pos"
"FA 7:2;O",143.07027,"pos"
"FA 8:0",145.12231,"pos"
"FA 8:0;O",161.11722,"pos"
