"peak.num","subclass","Title","Compound","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score"
1665,"PI","PI 39:6","PI 19:2_20:4",895.532,5.93546,"[M-H]-",0.75,0.025043612,0.5,0.5,1.775043612
1685,"PI-O","PI-O 40:7","PI-O 18:1_22:6",893.551,5.99342,"[M-H]-",1,0.07211015,0.5,0.5,2.07211015
2494,"OxPE","OxPE 45:6;2O","OxPE 18:0_27:6;2O",892.606,8.36684,"[M-H]-",0.75,0.016018395,0.874432804222712,0.5,2.14045119922271
2494,"PS","PS 44:5","PS 18:0_26:5",892.606,8.36684,"[M-H]-",0.75,0.0153658975,0.874432804222712,0.874918226947949,2.51471692867066
2449,"PS","PS 44:5","PS 22:0_22:5",892.606,8.23671,"[M-H]-",0.75,0.01404257425,0.5,0.5,1.76404257425
2449,"PS","PS 44:5","PS 22:5_22:0",892.606,8.23671,"[M-H]-",0.75,0.01404257425,0.5,0.5,1.76404257425
2449,"PS","PS 44:5","PS 18:1_26:4",892.606,8.23671,"[M-H]-",0.75,0.01251974925,0.5,0.5,1.76251974925
2449,"PS","PS 44:5","PS 22:1_22:4",892.606,8.23671,"[M-H]-",1,0.00160053925,0.874986990929535,0.874986990929534,2.75157452110907
2449,"PS","PS 44:5","PS 20:4_24:1",892.606,8.23671,"[M-H]-",0.75,0.00106309675,0.5,0.5,1.75106309675
2449,"PS","PS 44:5","PS 22:4_22:1",892.606,8.23671,"[M-H]-",1,0.00160053925,0.874986990929535,0.866820845638725,2.74340837581826
2449,"OxPE","OxPE 45:6;2O","OxPE 22:6_23:0;2O",892.606,8.23671,"[M-H]-",0.75,0.0017893775,0.874986990929535,0.874986990929534,2.50176335935907
2449,"OxPE","OxPE 45:6;2O","OxPE 18:1_27:5;2O",892.606,8.23671,"[M-H]-",0.75,0.01288381,0.874986990929535,0.874986990929534,2.51285779185907
2449,"OxPE","OxPE 45:6;2O","OxPE 22:1_23:5;2O",892.606,8.23671,"[M-H]-",0.75,0.00172835,0.874986990929535,0.874986990929534,2.50170233185907
2449,"OxPE","OxPE 45:6;2O","OxPE 22:5_23:1;2O",892.606,8.23671,"[M-H]-",0.75,0.014406635,0.874986990929535,0.874986990929534,2.51438061685907
2449,"OxPE","OxPE 45:6;2O","OxPE 20:4_25:2;2O",892.606,8.23671,"[M-H]-",0.75,0.0014271575,0.874986990929535,0.5,2.12641414842953
2449,"OxPE","OxPE 45:6;2O","OxPE 22:4_23:2;2O",892.606,8.23671,"[M-H]-",0.75,0.00139186,0.5,0.5,1.75139186
2066,"PS","PS 44:6","PS 22:1_22:5",890.589,7.11982,"[M-H]-",0.75,0.0174701225,0.874935003440275,0.874890933149511,2.51729605908979
2066,"PS","PS 44:6","PS 22:5_22:1",890.589,7.11982,"[M-H]-",0.75,0.0174701225,0.874935003440275,0.874935003440275,2.51734012938055
2066,"PS","PS 44:6","PS 18:2_26:4",890.589,7.11982,"[M-H]-",0.75,0.0076889725,0.874935003440275,0.874935003440275,2.50755897938055
2066,"OxPE","OxPE 45:7;2O","OxPE 18:2_27:5;2O",890.589,7.11982,"[M-H]-",0.75,0.00809357,0.874480573472949,0.87448057347295,2.5070547169459
2066,"OxPE","OxPE 45:7;2O","OxPE 22:5_23:2;2O",890.589,7.11982,"[M-H]-",0.75,0.01787472,0.874480573472949,0.87448057347295,2.5168358669459
1978,"SL","SL 57:17","SL 29:7;O/28:10",890.58,6.85956,"[M-H]-",0.75,0.004726775,0.5,0.5,1.754726775
1978,"SL","SL 57:17","SL 29:5;O/28:12",890.58,6.85956,"[M-H]-",0.75,0.00465240875,0.5,0.5,1.75465240875
2037,"MMPE","MMPE 47:12","MMPE 22:5_25:7",890.574,7.03595,"[M-H]-",0.75,0.014929275,0.5,0.5,1.764929275
2037,"MMPE","MMPE 47:12","MMPE 20:4_27:8",890.574,7.03595,"[M-H]-",0.75,0.013319155,0.5,0.5,1.763319155
2037,"MMPE","MMPE 47:12","MMPE 20:3_27:9",890.574,7.03595,"[M-H]-",0.75,0.0131606525,0.5,0.5,1.7631606525
2037,"DMPE","DMPE 46:12","DMPE 22:5_24:7",890.574,7.03595,"[M-H]-",0.75,0.02672065,0.5,0.5,1.77672065
2037,"DMPE","DMPE 46:12","DMPE 20:4_26:8",890.574,7.03595,"[M-H]-",0.75,0.02511053,0.5,0.5,1.77511053
2037,"DMPE","DMPE 46:12","DMPE 20:3_26:9",890.574,7.03595,"[M-H]-",0.75,0.0249520275,0.5,0.5,1.7749520275
2037,"DMPE","DMPE 46:12","DMPE 18:2_28:10",890.574,7.03595,"[M-H]-",0.75,0.026093875,0.5,0.5,1.776093875
2037,"DMPE","DMPE 46:12","DMPE 18:0_28:12",890.574,7.03595,"[M-H]-",0.75,0.024514715,0.5,0.5,1.774514715
2037,"PE","PE 48:12","PE 20:3_28:9",890.574,7.03595,"[M-H]-",0.75,0.0249520275,0.5,0.5,1.7749520275
2037,"PE","PE 48:12","PE 20:4_28:8",890.574,7.03595,"[M-H]-",0.75,0.02511053,0.5,0.5,1.77511053
2037,"PE","PE 48:12","PE 22:5_26:7",890.574,7.03595,"[M-H]-",0.75,0.02672065,0.5,0.5,1.77672065
2328,"PI","PI 38:2","PI 18:0_20:2",889.58,7.88833,"[M-H]-",1,0.0242513,0.874991196653195,0.874991196653195,2.77423369330639
1960,"PA","PA 51:12","PA 22:6_29:6",889.576,6.80431,"[M-H]-",0.75,0.0093415,0.5,0.5,1.7593415
1960,"PEtOH","PEtOH 49:12","PEtOH 20:4_29:8",889.576,6.80431,"[M-H]-",0.75,0.00256888375,0.5,0.5,1.75256888375
1960,"PEtOH","PEtOH 49:12","PEtOH 22:6_27:6",889.576,6.80431,"[M-H]-",0.75,0.00876397,0.5,0.5,1.75876397
1960,"PMeOH","PMeOH 50:12","PMeOH 20:4_30:8",889.576,6.80431,"[M-H]-",0.75,0.00256888375,0.5,0.5,1.75256888375
1960,"PMeOH","PMeOH 50:12","PMeOH 22:6_28:6",889.576,6.80431,"[M-H]-",0.75,0.00876397,0.5,0.5,1.75876397
1911,"PE","PE 48:13","PE 20:4_28:9",888.557,6.66419,"[M-H]-",0.75,0.0363673325,0.5,0.5,1.7863673325
1911,"MMPE","MMPE 47:13","MMPE 20:4_27:9",888.557,6.66419,"[M-H]-",0.75,0.0192774075,0.5,0.5,1.7692774075
1911,"DMPE","DMPE 46:13","DMPE 20:4_26:9",888.557,6.66419,"[M-H]-",0.75,0.0363673325,0.5,0.5,1.7863673325
1911,"DMPE","DMPE 46:13","DMPE 18:0_28:13",888.557,6.66419,"[M-H]-",0.75,0.037731375,0.5,0.5,1.787731375
2093,"PI","PI 38:3","PI 18:1_20:2",887.565,7.19411,"[M-H]-",1,0.02157162,0.874659310318844,0.874926194482228,2.77115712480107
2161,"PA","PA 51:13","PA 22:1_29:12",887.564,7.40188,"[M-H]-",0.5,0.0035869675,0.5,0.5,1.5035869675
2161,"PI","PI 38:3","PI 16:2_22:1",887.564,7.40188,"[M-H]-",0.75,0.00579691,0.5,0.5,1.75579691
2017,"PI","PI 38:3","PI 18:0_20:3",887.563,6.97882,"[M-H]-",1,0.0122359525,0.874924418755226,0.874924418755226,2.76208479001045
2004,"PA","PA 51:13","PA 22:6_29:7",887.562,6.94052,"[M-H]-",0.5,0.002574347,0.5,0.5,1.502574347
2004,"PI","PI 38:3","PI 18:2_20:1",887.562,6.94052,"[M-H]-",0.75,0.006505801,0.5,0.5,1.756505801
1998,"PEtOH","PEtOH 49:13","PEtOH 20:3_29:10",887.56,6.92084,"[M-H]-",0.75,0.0408226225,0.5,0.5,1.7908226225
1998,"PEtOH","PEtOH 49:13","PEtOH 20:4_29:9",887.56,6.92084,"[M-H]-",0.75,0.03239225375,0.5,0.5,1.78239225375
