"peak.num","subclass","Title","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score","top_n"
2713,"GPNAE","GPNAE 41:4_CAH_GPNAE 41:4",796.619,9.9238,"[M+H]+",1,0.0085,0.872886146929317,0.872886146929317,2.75427229385863,"Top 1"
3308,"CoQ9_CAH_CoQ9","CoQ9_CAH_CoQ9",795.629,11.9827,"[M+H]+",0.5,0.2332,0.5,0.5,1.7332,"Top 1"
405,"LPC-O","LPC-O 16:1_CAH_LPC-O 16:1",480.345,1.8817,"[M+H]+",0.75,0.0308,0.5,0.5,1.7808,"Top 1"
3672,"TG","TG 46:1_CAH_TG 15:0_15:0_16:1",794.723,13.2668,"[M+NH4]+",1,0.0398,0.874753696947891,0.872697566431589,2.78725126337948,"Top 1"
430,"Cer","Cer 31:8_CAH_Cer 12:8;2O/19:0",482.361,1.9734,"[M+H]+",0.75,0.0319,0.5,0.5,1.7819,"Top 2"
430,"LPE-O","LPE-O 19:0_CAH_LPE-O 19:0",482.361,1.9734,"[M+H]+",1,0.0385,0.874082233568496,0.874082233568495,2.78666446713699,"Top 1"
3614,"TG","TG 46:2_CAH_TG 15:0_15:0_16:2",792.707,13.0621,"[M+NH4]+",0.5,0.0096,0.87453639818974,0.873991747557102,2.25812814574684,"Top 1"
3559,"TG","TG 46:2_CAH_TG 14:0_14:0_18:2",792.707,12.8647,"[M+NH4]+",0.5,0.0176,0.871930559511319,0.872553178072943,2.26208373758426,"Top 1"
844,"LPE-O","LPE-O 20:1_CAH_LPE-O 20:1",494.361,3.4297,"[M+H]+",1,0.0294,0.5,0.5,2.0294,"Top 1"
399,"Cer","Cer 31:9_CAH_Cer 12:8;2O/19:1;O",496.34,1.8677,"[M+H]+",0.75,0.061,0.850140838965141,0.871957084583842,2.53309792354898,"Top 3"
399,"CAR","CAR 24:8_CAH_CAR 24:8",496.34,1.8677,"[M]+",0.5,0.022,0.873141045279789,0.874652300734328,2.26979334601412,"Top > 3"
399,"MG","MG 28:10_CAH_MG 28:10",496.34,1.8677,"[M+NH4]+",1,0.022,0.874298939953198,0.874618229036178,2.77091716898938,"Top 1"
399,"LPE","LPE 19:0_CAH_LPE 19:0",496.34,1.8677,"[M+H]+",1,0.022,0.8715833995882,0.874631350197789,2.76821474978599,"Top 2"
511,"Cer","Cer 32:8_CAH_Cer 12:8;2O/20:0",496.377,2.2512,"[M+H]+",0.75,0.0371,0.5,0.5,1.7871,"Top 2"
511,"LPE-O","LPE-O 20:0_CAH_LPE-O 20:0",496.377,2.2512,"[M+H]+",1,0.0465,0.873021503566875,0.873021503566876,2.79254300713375,"Top 1"
1244,"LDGCC","LDGCC 17:1_CAH_LDGCC 17:1",502.374,4.847,"[M+H]+",0.75,0.0892,0.5,0.5,1.8392,"Top 1"
2634,"PC","PC 36:3_CAH_PC 17:2_19:1",784.586,9.6509,"[M+H]+",0.5,0.0288,0.78808398903327,0.776205466262465,2.09308945529573,"Top 1"
3916,"TG-O","TG-O 46:0_CAH_TG-O 14:0_16:0_16:0",782.759,14.1068,"[M+NH4]+",0.5,0.0247,0.874764996761206,0.873871789534635,2.27333678629584,"Top 1"
